TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_DIRECTION,CRASH_DAY_OF_WEEK,CRASH_DATE_month,CRASH_DATE_hour,POSTED_SPEED_LIMIT,NUM_UNITS,LATITUDE,LONGITUDE,Severity
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,driver conditions,S,1,8,14,0.2525400696474301,-0.08823949142329818,-1.4241754883880366,1.5933069868204002,3
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,3,1,20,0.2525400696474301,-0.08823949142329818,-1.138941187393261,-0.08847088754478724,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,1,5,2,1.0720517112205266,-0.08823949142329818,0.28810756654217934,1.0413034208412617,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,N,2,9,8,0.2525400696474301,2.0596346183568244,0.4919183484913989,-1.6219256774508632,3
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,others,W,1,9,0,0.2525400696474301,-0.08823949142329818,-0.9879346519639828,-0.6527568244780123,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,4,5,9,0.2525400696474301,-0.08823949142329818,0.5373524778724929,-1.1920060265340209,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,1,11,21,0.2525400696474301,-2.236113601203421,0.34329044898785344,-0.7914386149211067,3
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,6,3,8,-0.5669715719256664,-0.08823949142329818,0.7546407412686424,-0.6602329583571828,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,5,6,11,0.2525400696474301,2.0596346183568244,-1.3158701961445272,0.5992547835777171,3
NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,dangerous driving,W,1,8,16,0.2525400696474301,-0.08823949142329818,0.7913928144960269,-1.3439473911335764,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,1,5,0,0.2525400696474301,-0.08823949142329818,-0.7476267873991148,-1.8168437718513302,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDESTRIAN,CENTER TURN LANE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,E,3,4,8,0.2525400696474301,4.207508728136947,-0.9469250959560699,1.2423323755888114,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SNOW,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,driver conditions,dangerous driving,W,6,12,16,0.2525400696474301,4.207508728136947,0.47176185490358175,0.6144775251083958,3
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,SLEET/HAIL,"DARKNESS, LIGHTED ROAD",ANGLE,ONE-WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,others,others,S,7,2,0,-2.2059948550718596,-0.08823949142329818,-1.0984906236702963,1.025952681217218,3
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,3,12,13,0.2525400696474301,-0.08823949142329818,1.0526326518579854,-0.7187204930508786,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,3,1,8,0.2525400696474301,6.3553828379170705,-1.9115627996216156,0.62031715059547,3
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,N,7,8,10,0.2525400696474301,-0.08823949142329818,1.0866584001613533,0.4171840580576644,3
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,5,8,2,0.2525400696474301,-0.08823949142329818,0.5392024527990156,-1.0024430658945946,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,5,5,8,1.0720517112205266,2.0596346183568244,-0.8893142279524335,0.9128765304959972,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SNOW,DARKNESS,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,dangerous driving,dangerous driving,W,1,12,19,-0.5669715719256664,-0.08823949142329818,0.2797181173984514,-1.4473045322944014,3
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,N,4,6,21,0.2525400696474301,-0.08823949142329818,0.44267078962054235,0.38146792200640517,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SNOW,DAYLIGHT,ANGLE,OTHER,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,external factors,external factors,W,1,1,15,0.2525400696474301,2.0596346183568244,0.30203851121670094,-0.37466752078689564,3
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,3,5,16,0.2525400696474301,-0.08823949142329818,-1.5186629886977245,1.6748955558382645,3
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,OTHER,"CURVE, LEVEL",DRY,NO DEFECTS,dangerous driving,dangerous driving,N,1,8,11,0.2525400696474301,-0.08823949142329818,1.6449915108078346,-2.2209719930019243,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,N,5,8,23,0.2525400696474301,-0.08823949142329818,0.6385831903769689,0.5256633554772007,3
NO CONTROLS,NO CONTROLS,RAIN,DARKNESS,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,others,others,S,4,10,17,0.2525400696474301,2.0596346183568244,-0.8833540369264447,-0.7400386871245543,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,driver conditions,dangerous driving,W,4,12,23,0.2525400696474301,-0.08823949142329818,1.1061241039725738,-3.702141456038059,3
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,7,8,0,1.0720517112205266,-0.08823949142329818,1.1428871632430224,-0.36433049083417623,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,6,9,19,0.2525400696474301,6.3553828379170705,-0.5160981371708006,-0.07797829119900102,3
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,6,8,18,0.2525400696474301,-0.08823949142329818,-2.268850528998522,0.6193635411217119,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,5,6,16,0.2525400696474301,-0.08823949142329818,-0.8053235706955956,0.6421426859490134,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,E,7,2,15,0.2525400696474301,2.0596346183568244,-1.2247183200144467,1.136179588968084,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,vehicle conditions,others,S,3,7,13,1.0720517112205266,-0.08823949142329818,-1.1593374942752916,-0.7292553382387985,3
NO CONTROLS,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",HEAD ON,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,driver conditions,dangerous driving,N,6,9,23,0.2525400696474301,-0.08823949142329818,0.5677707762366896,-1.4612837067255213,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,E,4,9,6,0.2525400696474301,-0.08823949142329818,-1.160862044161052,1.135379228797161,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,HEAD ON,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,driver conditions,driver conditions,W,5,9,14,0.2525400696474301,2.0596346183568244,-0.21137226087561123,0.45311862637313,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,OTHER,dangerous driving,road conditions,E,5,7,15,0.2525400696474301,-0.08823949142329818,-2.288887565421349,1.5930200566335968,3
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",HEAD ON,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,7,3,19,0.2525400696474301,2.0596346183568244,0.4185747430330421,-0.38809872875036927,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,N,3,6,17,0.2525400696474301,2.0596346183568244,0.41803664874711904,-0.4632762304763173,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,3,5,19,1.0720517112205266,-2.236113601203421,1.142643018575856,-0.43038136318206205,3
NO CONTROLS,NO CONTROLS,CLEAR,DAWN,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,5,4,5,0.2525400696474301,-0.08823949142329818,0.8696808865072468,-1.1416714190206931,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,2,1,21,0.2525400696474301,-0.08823949142329818,-1.0590635715521,0.9158720884113791,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,6,11,23,0.2525400696474301,-0.08823949142329818,0.13042821832243295,0.6495766893774708,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,7,10,23,0.2525400696474301,-0.08823949142329818,0.20692475975507058,-0.2878837141464049,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,2,10,12,0.2525400696474301,2.0596346183568244,-1.997960100792766,0.7264631212498107,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,3,9,11,0.2525400696474301,-0.08823949142329818,-0.13878074988245992,-0.5801320627393308,3
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,N,4,10,22,0.2525400696474301,-0.08823949142329818,0.8767934912645264,-1.5774307123377385,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,4,6,16,-2.2059948550718596,-0.08823949142329818,0.18572259567866828,0.7692977305460117,3
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,4,12,17,0.2525400696474301,2.0596346183568244,-1.2081819786132657,1.4590299341472814,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,2,8,12,1.0720517112205266,2.0596346183568244,0.2893723624733627,-0.621651156747361,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,7,8,2,1.0720517112205266,-0.08823949142329818,-1.9468011105336303,0.34590750456589126,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,6,9,8,0.2525400696474301,-0.08823949142329818,-1.4768756185086438,1.7509089520894152,3
STOP SIGN/FLASHER,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,"RUT, HOLES",dangerous driving,dangerous driving,S,2,5,12,2.7110749943667196,-0.08823949142329818,-1.074001274407463,1.5691518455765354,3
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,others,others,W,6,1,18,0.2525400696474301,-0.08823949142329818,1.1410566036082552,-0.6312953259849373,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,others,W,2,1,13,0.2525400696474301,-0.08823949142329818,0.1672168455356961,-0.0018857417928120905,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,3,6,18,0.2525400696474301,-0.08823949142329818,1.571489687650141,-0.012836665349572273,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,4,9,11,0.2525400696474301,4.207508728136947,0.7902974674792781,-1.468821201212897,3
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,1,6,20,0.2525400696474301,-0.08823949142329818,0.5460939824119985,-0.44771977721476997,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,E,4,6,17,0.2525400696474301,-2.236113601203421,-1.22285644840589,1.6639148145440859,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,7,5,14,0.2525400696474301,-0.08823949142329818,-1.4004265353809653,0.8446988230216999,3
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,7,3,19,0.2525400696474301,-0.08823949142329818,0.34195625769028914,-1.11846775620405,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,5,11,6,0.2525400696474301,4.207508728136947,0.8798956766233744,-1.262333655471646,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,2,11,7,-0.5669715719256664,-0.08823949142329818,0.15933034935011794,0.6233296892303871,3
NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",HEAD ON,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,dangerous driving,S,7,12,5,0.2525400696474301,4.207508728136947,-1.3150788858254483,-1.0454410892470194,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,2,12,11,0.2525400696474301,4.207508728136947,-0.8200154944035407,-0.4057552944921816,3
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE OPPOSITE DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,driver conditions,dangerous driving,S,1,6,21,0.2525400696474301,-0.08823949142329818,-0.8528742704256719,-1.396674893235143,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,1,6,3,0.2525400696474301,-0.08823949142329818,-0.5524550630951076,0.6078632473129035,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,HEAD ON,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,7,9,17,0.2525400696474301,2.0596346183568244,0.15871125488717325,-0.7772760351881188,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,vehicle conditions,W,5,6,23,0.2525400696474301,4.207508728136947,-0.7196072874434921,0.6973601298187412,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,1,6,0,0.2525400696474301,-0.08823949142329818,0.2875017580696527,-0.829426091345754,3
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,N,3,9,16,0.2525400696474301,-0.08823949142329818,0.6433054493240872,-1.4583147699779937,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,N,6,12,19,0.2525400696474301,-0.08823949142329818,0.4604827845725445,-0.4601658159210507,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,4,7,7,1.891563352793623,-0.08823949142329818,-0.7560424582778573,1.6753425682069376,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,HEAD ON,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,2,11,19,0.2525400696474301,-0.08823949142329818,-0.5857621070321843,-0.0801309864053556,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,4,9,22,0.2525400696474301,-0.08823949142329818,0.7645261252168764,0.17766564704795765,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,7,4,22,1.0720517112205266,-0.08823949142329818,-0.678520618986969,0.9281886745005066,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,E,4,12,12,0.2525400696474301,-0.08823949142329818,0.47504624979859156,0.9580823518279225,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",HEAD ON,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,1,7,0,0.2525400696474301,-0.08823949142329818,-0.9755863979767834,0.8305025693718696,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,4,2,7,1.0720517112205266,-0.08823949142329818,-1.4318610135378975,2.0022482440986877,3
NO CONTROLS,NOT FUNCTIONING,CLEAR,DARKNESS,HEAD ON,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,E,1,1,0,1.0720517112205266,-0.08823949142329818,-1.2239890732497989,1.5165804003470884,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,6,11,22,0.2525400696474301,2.0596346183568244,0.45676088598317516,-0.7126944348229393,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,4,11,16,0.2525400696474301,-0.08823949142329818,-1.5714523147469135,0.9143793410912366,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,7,1,16,0.2525400696474301,-0.08823949142329818,0.08221181808940949,0.21584970405373025,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,N,3,6,11,-2.2059948550718596,-0.08823949142329818,0.6162187706626451,-1.5252673794223135,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,N,1,5,2,0.2525400696474301,-0.08823949142329818,1.819335775659267,-0.4295022895960071,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,6,4,21,0.2525400696474301,-0.08823949142329818,-1.9525309449019232,0.9818323236315992,3
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,1,7,17,0.2525400696474301,-2.236113601203421,-0.6633067006246616,-1.0172426932205738,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,dangerous driving,S,2,1,14,0.2525400696474301,-0.08823949142329818,-1.1454194619956453,0.8910969479463329,3
STOP SIGN/FLASHER,OTHER,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,3,8,16,-0.5669715719256664,2.0596346183568244,-0.4633162596821688,1.0024161692359095,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,N,6,10,0,0.2525400696474301,-0.08823949142329818,0.883233285529138,-0.8105249098942435,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,CENTER TURN LANE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,7,7,21,0.2525400696474301,4.207508728136947,0.5381789645440517,-1.1005211482712738,3
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,ANGLE,ONE-WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,others,W,1,10,8,0.2525400696474301,-0.08823949142329818,-0.7174870511885763,0.8689823006203038,3
