TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_DIRECTION,CRASH_DAY_OF_WEEK,CRASH_DATE_month,CRASH_DATE_hour,POSTED_SPEED_LIMIT,NUM_UNITS,LATITUDE,LONGITUDE,Severity
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,N,6,7,14,0.2525400696474301,-0.08823949142329818,0.33068047966964237,0.7885091822172121,1
NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,6,11,13,0.2525400696474301,-0.08823949142329818,-1.9437385963481821,-0.05721131090192211,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,2,4,16,0.2525400696474301,-0.08823949142329818,-0.6156472379011831,-0.41914636774692904,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,5,1,14,0.2525400696474301,-0.08823949142329818,-0.25935640144876615,0.06227876541940511,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,3,11,13,0.2525400696474301,-0.08823949142329818,-0.6782236922789369,0.9556482739210587,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SNOW,"DARKNESS, LIGHTED ROAD",SIDESWIPE OPPOSITE DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON HILLCREST,WET,NO DEFECTS,dangerous driving,dangerous driving,S,4,1,20,1.0720517112205266,-0.08823949142329818,-0.1310539541034052,-0.10554733507817393,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,5,2,7,0.2525400696474301,-0.08823949142329818,0.83516683719481,0.7981117453091452,1
NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,6,8,20,1.0720517112205266,-0.08823949142329818,-0.046187588966288176,0.8841362736192863,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,careless driving,W,5,1,12,0.2525400696474301,2.0596346183568244,0.8769718364220811,-1.2999656699606355,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,N,2,4,17,0.2525400696474301,-0.08823949142329818,0.3861034672810065,0.8117604891443643,1
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,others,S,6,1,17,-1.3864832134987628,-0.08823949142329818,-0.09777817544067535,-0.7248284443506253,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,6,12,12,0.2525400696474301,-0.08823949142329818,-0.47058132643299055,0.40170146416083174,1
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,1,7,0,1.0720517112205266,-0.08823949142329818,-0.7576369639232301,-1.056948215935103,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,dangerous driving,others,E,4,2,16,0.2525400696474301,-0.08823949142329818,-1.737555996591308,1.0252551186693362,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,HEAD ON,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,3,8,8,-2.2059948550718596,-0.08823949142329818,1.6540706989908605,0.04699884080819023,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",HEAD ON,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,E,4,5,22,0.2525400696474301,-0.08823949142329818,-1.5672803152895074,1.264324978221178,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,4,3,13,0.2525400696474301,-0.08823949142329818,1.1157334592117176,-1.8827541811751185,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,4,5,15,0.2525400696474301,-0.08823949142329818,1.0547480080215363,-0.4829392103054741,1
